station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs,log_bus_routes_access_network,pct_hh_no_vehicle_access_network,pct_car_truck_van_access_network,log_citibike_0p5mi,subway_lines_serving_station,cluster
268,"65 St (M,R)",2402.65052,7.784743911,0,51.67,0.666666222,8.206583614,10.87231381,1.992185048,2.302585093,2.215034522,21.75,21.88,2,3.124565145,0,7.588581458,-1.685264897,3984.238294,-0.391323571,0,0,0,0,0,0,0,1,0,0,1,0,1,2.564949357,24.05046008,19.31074456,3.401197382,0,0
307,116 St-Columbia University (1),11143.2038,9.318674803,0,51,0.666666222,9.246382963,11.02633707,1.785818746,3.891820298,3.079632017,15.5,15.5,1,2.803360381,0,14.40723161,0.103405024,5583.873337,9.281957566,0,0,0,0,0,0,1,0,0,0,1,0,1,2.833213344,6.558557168,5.473703281,2.564949357,0,0
54,"Sheepshead Bay (B,Q)",9700.038945,9.179988267,0,53,0.999999,9.650786449,10.55409251,1.832079811,1.098612289,2.210369585,39,41.25,2,3.688879454,0,14.42488772,-0.95319591,2744.427944,36.93426363,0,0,0,0,0,1,0,0,0,0,1,0,1,2.197224577,36.06982315,29.9478094,0,0,1
418,"233 St (2,5)",2606.342163,7.866086653,0,42,0.666666222,8.090402297,10.60077615,1.962247908,0.693147181,1.79376243,53.5,54.25,2,3.998200702,0,30.36343184,-0.798639018,4727.048714,34.53597786,1,0,0,0,1,0,0,0,0,0,0,0,1,2.079441542,44.40516977,36.94567871,0,2,1
621,"Broadway Junction (A,C,J,Z,L)",5483.081096,8.609604828,0,61,0.999999,7.340835554,10.32685806,2.087523946,0.693147181,1.585135569,24.5,26,5,3.238678452,0,25.68656121,0.504366393,1853.037045,68.8684735,0,0,0,0,0,1,0,0,0,0,1,0,1,2.48490665,19.13577185,17.47388313,2.772588722,4,4
51,"Kings Hwy (B,Q)",14519.16691,9.583293783,0,53,0.999999,9.494917629,10.76962119,1.541958966,1.098612289,2.368043657,35,36.5,2,3.583518938,0,15.9089467,-0.844493636,3579.758759,28.39549469,0,0,0,0,0,1,0,0,0,0,1,0,1,2.63905733,36.00670877,28.94526128,0,0,1
44,"Church Av (B,Q)",10076.11865,9.218022653,0,53.33,0.999999,7.851661178,11.04448861,1.770489444,3.044522438,1.846142878,27,27.25,2,3.33220451,0,18.34834754,-0.730444402,7434.444692,-138.7651271,0,0,0,0,0,1,0,0,0,0,1,0,1,2.944438979,13.36305664,11.30788303,3.135494216,0,0
365,Castle Hill Av (6),3721.175194,8.222063506,0,41.67,0.49999975,8.723394022,10.85724746,1.857744187,1.386294361,1.927182483,36.5,36.5,1,3.624340933,0,36.32551531,0.284166676,3084.190138,-33.89987014,1,0,0,0,1,0,0,0,0,0,0,0,1,2.833213344,32.01969039,26.54841532,0,0,1
420,"219 St (2,5)",1536.946118,7.338203115,0,42,0.666666222,7.440146681,10.68322519,1.725185729,1.098612289,1.580811792,49.75,51.12,2,3.926911618,0,30.36343184,-0.798639018,3411.173775,-28.46946423,1,0,0,0,1,0,0,0,0,0,0,0,1,2.302585093,38.76438266,31.90995115,0,2,1
371,Hunts Point Av (6),6638.904209,8.800852816,0,54.33,0.999999,8.402006782,10.7629751,2.334338821,2.079441542,2.373651576,28.5,29,2,3.384390263,0,36.32551531,0.284166676,4240.680798,-18.76728491,1,0,0,0,1,0,0,0,0,0,0,0,1,2.397895273,20.81338078,17.45157435,2.890371758,0,0
74,18 Av (N),3661.116836,8.20579663,0,34.67,0.666666222,8.374246182,10.73007237,1.692902758,1.609437912,2.64463375,42,48.25,2,3.761200116,0,21.19283246,-0.075227115,3724.989903,-62.76466688,0,0,0,0,0,1,0,0,0,0,1,0,1,1.945910149,30.52828333,22.88348351,0,0,1
428,"174 St (2,5)",3595.812651,8.187803358,0,65,0.999999,8.3423635,10.6047517,1.859549481,0,2.032305121,36.5,36.5,1,3.624340933,0,36.7,0.312237762,4718.389966,22.58400956,1,0,0,0,1,0,0,0,0,0,0,0,1,2.772588722,24.137831,20.11608819,2.944438979,0,0
461,"Queensboro Plaza (7,N,W)",10573.88238,9.266236881,0,45.33,0.666666222,9.011401509,9.931783422,2.061518674,2.63905733,1.959971152,12,12.25,4,2.564949357,0,11.31433164,0.504859968,4198.197746,464.8243557,0,0,0,0,0,0,0,1,0,0,1,0,1,2.708050201,11.39951441,7.922173174,3.044522438,0,0
